name,scientific_name,family,origin,description,care,image_url
Tulipe 795,Tulipa species_795,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 796,Helianthus species_796,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 797,Taraxacum species_797,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 798,Betula species_798,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 799,Fagus species_799,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 800,Phoenix species_800,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 801,Rosa species_801,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 802,Lavandula species_802,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 803,Quercus species_803,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 804,Acer species_804,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 805,Pinus species_805,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 806,Orchis species_806,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 807,Dryopteris species_807,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 808,Mentha species_808,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 809,Thymus species_809,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 810,Salvia species_810,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 811,Echinocactus species_811,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 812,Aloe species_812,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 813,Ficus species_813,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 814,Bambusa species_814,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 815,Tulipa species_815,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 816,Helianthus species_816,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 817,Taraxacum species_817,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 818,Betula species_818,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 819,Fagus species_819,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 820,Phoenix species_820,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 821,Rosa species_821,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 822,Lavandula species_822,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 823,Quercus species_823,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 824,Acer species_824,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 825,Pinus species_825,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 826,Orchis species_826,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 827,Dryopteris species_827,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 828,Mentha species_828,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 829,Thymus species_829,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 830,Salvia species_830,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 831,Echinocactus species_831,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 832,Aloe species_832,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 833,Ficus species_833,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 834,Bambusa species_834,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 835,Tulipa species_835,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 836,Helianthus species_836,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 837,Taraxacum species_837,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 838,Betula species_838,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 839,Fagus species_839,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 840,Phoenix species_840,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 841,Rosa species_841,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 842,Lavandula species_842,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 843,Quercus species_843,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 844,Acer species_844,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 845,Pinus species_845,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 846,Orchis species_846,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 847,Dryopteris species_847,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 848,Mentha species_848,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 849,Thymus species_849,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 850,Salvia species_850,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 851,Echinocactus species_851,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 852,Aloe species_852,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 853,Ficus species_853,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 854,Bambusa species_854,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 855,Tulipa species_855,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 856,Helianthus species_856,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 857,Taraxacum species_857,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 858,Betula species_858,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 859,Fagus species_859,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 860,Phoenix species_860,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 861,Rosa species_861,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 862,Lavandula species_862,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 863,Quercus species_863,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 864,Acer species_864,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 865,Pinus species_865,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 866,Orchis species_866,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 867,Dryopteris species_867,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 868,Mentha species_868,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 869,Thymus species_869,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 870,Salvia species_870,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 871,Echinocactus species_871,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 872,Aloe species_872,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 873,Ficus species_873,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 874,Bambusa species_874,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 875,Tulipa species_875,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 876,Helianthus species_876,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 877,Taraxacum species_877,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 878,Betula species_878,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 879,Fagus species_879,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 880,Phoenix species_880,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 881,Rosa species_881,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 882,Lavandula species_882,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 883,Quercus species_883,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 884,Acer species_884,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 885,Pinus species_885,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 886,Orchis species_886,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 887,Dryopteris species_887,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 888,Mentha species_888,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 889,Thymus species_889,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 890,Salvia species_890,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 891,Echinocactus species_891,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 892,Aloe species_892,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 893,Ficus species_893,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 894,Bambusa species_894,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 895,Tulipa species_895,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 896,Helianthus species_896,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 897,Taraxacum species_897,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 898,Betula species_898,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 899,Fagus species_899,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 900,Phoenix species_900,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 901,Rosa species_901,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 902,Lavandula species_902,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 903,Quercus species_903,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 904,Acer species_904,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 905,Pinus species_905,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 906,Orchis species_906,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 907,Dryopteris species_907,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 908,Mentha species_908,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 909,Thymus species_909,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 910,Salvia species_910,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 911,Echinocactus species_911,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 912,Aloe species_912,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 913,Ficus species_913,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 914,Bambusa species_914,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 915,Tulipa species_915,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 916,Helianthus species_916,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 917,Taraxacum species_917,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 918,Betula species_918,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 919,Fagus species_919,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 920,Phoenix species_920,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 921,Rosa species_921,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 922,Lavandula species_922,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 923,Quercus species_923,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 924,Acer species_924,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 925,Pinus species_925,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 926,Orchis species_926,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 927,Dryopteris species_927,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 928,Mentha species_928,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 929,Thymus species_929,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 930,Salvia species_930,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 931,Echinocactus species_931,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 932,Aloe species_932,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 933,Ficus species_933,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 934,Bambusa species_934,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 935,Tulipa species_935,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 936,Helianthus species_936,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 937,Taraxacum species_937,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 938,Betula species_938,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 939,Fagus species_939,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 940,Phoenix species_940,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 941,Rosa species_941,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 942,Lavandula species_942,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 943,Quercus species_943,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 944,Acer species_944,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 945,Pinus species_945,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 946,Orchis species_946,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 947,Dryopteris species_947,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 948,Mentha species_948,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 949,Thymus species_949,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 950,Salvia species_950,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 951,Echinocactus species_951,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 952,Aloe species_952,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 953,Ficus species_953,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 954,Bambusa species_954,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 955,Tulipa species_955,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 956,Helianthus species_956,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 957,Taraxacum species_957,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 958,Betula species_958,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 959,Fagus species_959,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 960,Phoenix species_960,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 961,Rosa species_961,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 962,Lavandula species_962,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 963,Quercus species_963,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 964,Acer species_964,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 965,Pinus species_965,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 966,Orchis species_966,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 967,Dryopteris species_967,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 968,Mentha species_968,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 969,Thymus species_969,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 970,Salvia species_970,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 971,Echinocactus species_971,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 972,Aloe species_972,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 973,Ficus species_973,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 974,Bambusa species_974,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 975,Tulipa species_975,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 976,Helianthus species_976,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 977,Taraxacum species_977,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 978,Betula species_978,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 979,Fagus species_979,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 980,Phoenix species_980,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 981,Rosa species_981,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 982,Lavandula species_982,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 983,Quercus species_983,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 984,Acer species_984,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 985,Pinus species_985,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 986,Orchis species_986,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 987,Dryopteris species_987,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 988,Mentha species_988,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 989,Thymus species_989,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 990,Salvia species_990,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 991,Echinocactus species_991,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 992,Aloe species_992,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 993,Ficus species_993,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 994,Bambusa species_994,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 995,Tulipa species_995,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 996,Helianthus species_996,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 997,Taraxacum species_997,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 998,Betula species_998,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 999,Fagus species_999,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 1000,Phoenix species_1000,Fagaceae,Europe,Arbre forestier durable,Sol profond,
